dupcheck,hb_pop_id,hb_pop_dist
Melozone aberti_33.52837_-112.0763,675,0
Fratercula arctica_76.53333_-67.16667,684,0
Spizella arborea_64.83333_-147.66667,671,0
Spizella arborea_68.62582_-149.59455,673,0
Sula nebouxii_21.87248_-105.90331,223,0.028812263
Sula nebouxii_65.96667_16.2,674,0
Halobaena caerulea_-54.48751_-37.07484,209,1.071380294
Halobaena caerulea_31.9_-110.88333,45,0.140907381
Luscinia svecica_57.71667_16.53333,672,0
Luscinia svecica_68.62582_-149.59455,673,0
Fringilla montifringilla_65.96667_16.2,674,0
Fringilla montifringilla_65.96667_16.3333,674,0.1333
Fringilla montifringilla_66.0167_16.2333,674,0.060099009
Cinclus pallasii_43.33617_-142.38933,460,14.46259718
Molothrus aeneus_33.52837_-112.0763,675,0
Amphispiza bilineata_30.8667_34.7833,669,0
Amphispiza bilineata_42.512_-88.181,371,1.654873107
Amphispiza bilineata_33.415_-111.548,667,0
Amphispiza bilineata_31.725_-110.87944,45,0.037058734
Amphispiza bilineata_31.9_-110.88333,45,0.140907381
Amphispiza bilineata_32.58611_-110.94444,191,0.255703382
Campylorhynchus brunneicapillus_31.725_-110.87944,45,0.037058734
Campylorhynchus brunneicapillus_33.415_-111.548,667,0
Campylorhynchus brunneicapillus_32.58611_-110.94444,191,0.255703382
Campylorhynchus brunneicapillus_31.9_-110.88333,45,0.140907381
Campylorhynchus brunneicapillus_33.46861_-111.60861,667,0.080917268
Daption capense_-54.81951_-35.82336,209,2.353334215
Toxostoma curvirostre_33.52837_-112.0763,675,0
Toxostoma curvirostre_33.415_-111.548,667,0
Toxostoma curvirostre_33.5284_-112.0763,675,3.00E-05
Toxostoma curvirostre_32.58611_-110.94444,191,0.255703382
Toxostoma curvirostre_33.46861_-111.60861,667,0.080917268
Spizella passerina_47.09194_-120.7075,36,0.754455097
Spizella passerina_46.695_-120.49083,30,0.865207668
Fringilla coelebs_57.56667_12.53333,680,0
Fringilla coelebs_57.71667_16.53333,672,0
Carduelis flammea_68.62582_-149.59455,673,0
Carduelis flammea_71.323_-156.609,692,0
Carduelis flammea_64.83333_-147.66667,671,0
Junco hyemalis_37.90853_-119.25571,284,0.003368234
Junco hyemalis_48.72_-120.66,687,0
Junco hyemalis_48.5459_-123.0132,703,0
Junco hyemalis_47.70972_-122.37056,670,0
Junco hyemalis_64.83333_-147.66667,671,0
Junco hyemalis_48.57486_-122.96153,703,0.059232343
Junco hyemalis_47.742_-122.984,679,0
Alle alle_76.53333_-67.16667,684,0
Passer montanus_36.7624_99.63247,668,0.004171678
Passer montanus_35.1074_98.88107,706,0
Motacilla flava_48.35_-122.65,664,0.291547595
Motacilla flava_68.76478_-148.85213,696,0
Motacilla flava_68.62582_-149.59455,673,0
Phalacrocorax harrisi_-0.26714_-91.46553,688,0.129976
Phalacrocorax harrisi_-0.38_-91.53,688,0
Zenaida galapagoensis_0.32196_-89.95523,689,0
Nesomimus parvulus_0.32196_-89.95523,689,0
Zonotrichia atricapilla_38.31867_-123.05857,702,0
Zonotrichia atricapilla_48.5459_-123.0132,703,0
Zonotrichia atricapilla_38.52761_-121.78356,704,0
Pelecanoides georgicus_-54.45654_-36.29404,209,1.794795138
Pelecanoides georgicus_-54_-37.96667,209,0.064215596
Pelecanoides georgicus_-54.48751_-37.07484,209,1.071380294
Pelecanoides georgicus_-54.81951_-35.82336,209,2.353334215
Pygoscelis papua_-54.45654_-36.29404,209,1.794795138
Fregata minor_0.32196_-89.95523,689,0
Spheniscus mendiculus_-0.26714_-91.46553,688,0.129976
Spheniscus mendiculus_-0.64821_-91.11517,701,0
Spheniscus mendiculus_68.45038_-149.37175,673,0.283582499
Spheniscus mendiculus_-0.38_-91.53,688,0
Setophaga graciae_43.33617_-142.38933,460,14.46259718
NA_33.52837_-112.0763,675,0
NA_68.62582_-149.59455,673,0
NA_64.83333_-147.66667,671,0
NA_47.65267_-122.31167,35,0.047704274
NA_46.90361_-124.12639,33,0.001764833
Hemignathus virens_19.8_-155.33333,666,0.021275876
Hemignathus virens_19.8211_-155.3306,666,0
Hemignathus virens_19.93333_-155.21667,666,0.159923787
Hemignathus virens_19.76_-155.53,666,0.208551121
Haemorhous mexicanus_48.5459_-123.0132,703,0
Haemorhous mexicanus_33.52837_-112.0763,675,0
Haemorhous mexicanus_47.70972_-122.37056,670,0
Passer domesticus_33.52837_-112.0763,675,0
Passer domesticus_47.70972_-122.37056,670,0
Passer domesticus_30.8667_34.7833,669,0
Vestiaria coccinea_19.93333_-155.21667,666,0.159923787
Vestiaria coccinea_19.8211_-155.3306,666,0
Vestiaria coccinea_19.8_-155.33333,666,0.021275876
Scardafella inca_33.52837_-112.0763,675,0
Cettia diphone_35.995_139.08305,245,0.229698939
Cettia diphone_43.33617_-142.38933,460,14.46259718
Aptenodytes patagonicus_-54.45654_-36.29404,209,1.794795138
Pterodroma brevirostris_-54.18333_-34.9,209,3.135924059
Pterodroma brevirostris_-54.45654_-36.29404,209,1.794795138
Calcarius lapponicus_71.323_-156.609,692,0
Geospiza conirostris_0.32196_-89.95523,689,0
Geospiza magnirostris_0.32196_-89.95523,689,0
Geospiza fortis_-0.17889_-90.64778,678,0.04374001
NA_37.90853_-119.25571,284,0.003368234
NA_38.333_-123.046,702,0.019061841
NA_48.5459_-123.0132,703,0
NA_48.57486_-122.96153,703,0.059232343
NA_46.84332_-122.31236,31,0.018362788
NA_46.85445_-124.11084,32,0.008233602
Haemorhous purpureus_48.5459_-123.0132,703,0
Haemorhous purpureus_47.742_-122.984,679,0
Zonotrichia capensis_-33.49045_-70.88527,304,0.062673562
Zonotrichia capensis_-54.93333_-67.61667,232,0.166703263
Zonotrichia capensis_-33.36025_-70.29162,231,0.193304131
Zonotrichia capensis_-33.36115_-70.30525,231,0.202827229
Phalaropus fulicarius_68.8336_-148.82198,696,0.075134645
Sula sula_0.32196_-89.95523,689,0
Pyrgilauda ruficolis_36.7624_99.63247,668,0.004171678
Pipilo erythrophthalmus_47.70972_-122.37056,670,0
Pipilo erythrophthalmus_46.695_-120.49083,30,0.865207668
Pipilo erythrophthalmus_47.742_-122.984,679,0
Pipilo erythrophthalmus_46.84332_-122.31236,31,0.018362788
Passerculus sandwichensis_48.72_-120.66,687,0
Passerculus sandwichensis_68.62582_-149.59455,673,0
Passerculus sandwichensis_48.57486_-122.96153,703,0.059232343
Passerculus sandwichensis_46.85445_-124.11084,32,0.008233602
Passerculus sandwichensis_48.33333_-122.45,664,0.174008301
Geospiza difficilis_0.32196_-89.95523,689,0
Geospiza fuliginosa_-0.67827_-90.47451,587,0.186128217
Geospiza fuliginosa_-0.17889_-90.64778,678,0.04374001
Calcarius pictus_68.40288_-149.32277,673,0.351520429
Calcarius pictus_68.45038_-149.37175,673,0.283582499
Calcarius pictus_68.76478_-148.85213,696,0
Calcarius pictus_69.01848_-148.82888,696,0.25476313
Calcarius pictus_68.62582_-149.59455,673,0
Plectrophenax nivalis_71.323_-156.609,692,0
Plectrophenax nivalis_76.53333_-67.16667,684,0
Cyphorhinus phaeocephalus_9.11661_-79.70074,683,0
Cyphorhinus phaeocephalus_9.15289_-79.73932,263,0.051262213
Cyphorhinus phaeocephalus_9.08143_-79.66948,112,0.012044721
Melospiza melodia_47_-120.5,36,0.947684019
Melospiza melodia_46.695_-120.49083,30,0.865207668
Melospiza melodia_47.70972_-122.37056,670,0
Melospiza melodia_38.333_-123.046,702,0.019061841
Montifringilla taczanowskii_35.1074_98.88107,706,0
Montifringilla taczanowskii_35.36482_99.72845,707,0
Montifringilla taczanowskii_29_87.7,705,0
Montifringilla taczanowskii_34.91667_98.91667,706,0.194023949
Oceanodroma tethys_0.32196_-89.95523,689,0
Zenaida asiatica_33.52837_-112.0763,675,0
Pycnonotus goiavier_30.8667_34.7833,669,0